[UID, JHJ0ekidS93_dk3145kIssW_Kj92rIesdDj]-
[TIME, 2015-04-29 16:06:57:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:58:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:59:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:00:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:01:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:02:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:03:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:04:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:05:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:06:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:07:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:08:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:09:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:10:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:11:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:12:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:13:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:14:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:15:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:16:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:17:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:18:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:19:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:20:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:21:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:22:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:23:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:24:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:25:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:26:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:27:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:28:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:29:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:30:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:31:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:32:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:33:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:34:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:35:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:36:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:37:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:38:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:39:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:40:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:41:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:42:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:43:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:44:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:45:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:46:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:47:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:48:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:49:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:50:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:51:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:52:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:53:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:54:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:55:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:56:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:57:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:58:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:07:59:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:00:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:01:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:02:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:03:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:04:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:05:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:06:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:07:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:08:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:09:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:10:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:11:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:12:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:13:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:14:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:15:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:16:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:17:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:18:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:19:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:20:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:21:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:22:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:23:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:24:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:25:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:26:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:27:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:28:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:29:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:30:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:31:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:32:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:33:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:34:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:35:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:36:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:37:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:38:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:39:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:40:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:41:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:42:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:43:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:44:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:45:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:46:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:47:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:48:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:49:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:50:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:08:51:74][010c, 15999][010d, 163][0110, 56]-
